METRIC_ID;METRIC_NAME;METRIC_UNIT;GROUP_ID;GROUP_NAME;INTERVAL_SIZE;MAX_INTERVAL
2000;Buffer Cache Hit Ratio;% (LogRead - PhyRead)/LogRead;2;System Metrics Long Duration;6000;60
2001;Memory Sorts Ratio;% MemSort/(MemSort + DiskSort);2;System Metrics Long Duration;6000;60
2002;Redo Allocation Hit Ratio;% (#Redo - RedoSpaceReq)/#Redo;2;System Metrics Long Duration;6000;60
2003;User Transaction Per Sec;Transactions Per Second;2;System Metrics Long Duration;6000;60
2004;Physical Reads Per Sec;Reads Per Second;2;System Metrics Long Duration;6000;60
2005;Physical Reads Per Txn;Reads Per Txn;2;System Metrics Long Duration;6000;60
2006;Physical Writes Per Sec;Writes Per Second;2;System Metrics Long Duration;6000;60
2007;Physical Writes Per Txn;Writes Per Txn;2;System Metrics Long Duration;6000;60
2008;Physical Reads Direct Per Sec;Reads Per Second;2;System Metrics Long Duration;6000;60
2009;Physical Reads Direct Per Txn;Reads Per Txn;2;System Metrics Long Duration;6000;60
2010;Physical Writes Direct Per Sec;Writes Per Second;2;System Metrics Long Duration;6000;60
2011;Physical Writes Direct Per Txn;Writes Per Txn;2;System Metrics Long Duration;6000;60
2012;Physical Reads Direct Lobs Per Sec;Reads Per Second;2;System Metrics Long Duration;6000;60
2013;Physical Reads Direct Lobs Per Txn;Reads Per Txn;2;System Metrics Long Duration;6000;60
2014;Physical Writes Direct Lobs Per Sec;Writes Per Second;2;System Metrics Long Duration;6000;60
2015;Physical Writes Direct Lobs  Per Txn;Writes Per Txn;2;System Metrics Long Duration;6000;60
2016;Redo Generated Per Sec;Bytes Per Second;2;System Metrics Long Duration;6000;60
2017;Redo Generated Per Txn;Bytes Per Txn;2;System Metrics Long Duration;6000;60
2018;Logons Per Sec;Logons Per Second;2;System Metrics Long Duration;6000;60
2019;Logons Per Txn;Logons Per Txn;2;System Metrics Long Duration;6000;60
2020;Open Cursors Per Sec;Cursors Per Second;2;System Metrics Long Duration;6000;60
2021;Open Cursors Per Txn;Cursors Per Txn;2;System Metrics Long Duration;6000;60
2022;User Commits Per Sec;Commits Per Second;2;System Metrics Long Duration;6000;60
2023;User Commits Percentage;% (UserCommit/TotalUserTxn);2;System Metrics Long Duration;6000;60
2024;User Rollbacks Per Sec;Rollbacks Per Second;2;System Metrics Long Duration;6000;60
2025;User Rollbacks Percentage;% (UserRollback/TotalUserTxn);2;System Metrics Long Duration;6000;60
2026;User Calls Per Sec;Calls Per Second;2;System Metrics Long Duration;6000;60
2027;User Calls Per Txn;Calls Per Txn;2;System Metrics Long Duration;6000;60
2028;Recursive Calls Per Sec;Calls Per Second;2;System Metrics Long Duration;6000;60
2029;Recursive Calls Per Txn;Calls Per Txn;2;System Metrics Long Duration;6000;60
2030;Logical Reads Per Sec;Reads Per Second;2;System Metrics Long Duration;6000;60
2031;Logical Reads Per Txn;Reads Per Txn;2;System Metrics Long Duration;6000;60
2032;DBWR Checkpoints Per Sec;Check Points Per Second;2;System Metrics Long Duration;6000;60
2033;Background Checkpoints Per Sec;Check Points Per Second;2;System Metrics Long Duration;6000;60
2034;Redo Writes Per Sec;Writes Per Second;2;System Metrics Long Duration;6000;60
2035;Redo Writes Per Txn;Writes Per Txn;2;System Metrics Long Duration;6000;60
2036;Long Table Scans Per Sec;Scans Per Second;2;System Metrics Long Duration;6000;60
2037;Long Table Scans Per Txn;Scans Per Txn;2;System Metrics Long Duration;6000;60
2038;Total Table Scans Per Sec;Scans Per Second;2;System Metrics Long Duration;6000;60
2039;Total Table Scans Per Txn;Scans Per Txn;2;System Metrics Long Duration;6000;60
2040;Full Index Scans Per Sec;Scans Per Second;2;System Metrics Long Duration;6000;60
